asset_id,symbol,name,class_code,sector_code,sub_sector_code,chain_ecosystem,effective_from
floki,FLOKI,FLOKI,10,1020,102010,ETH,2024-05-23
tel,TEL,Telcoin,30,3020,302020,ETH,2024-05-23
grt,GRT,The Graph,30,3040,304010,ETH,2024-05-23
nft,NFT,AINFT,30,3050,305030,TRX,2024-05-23
op,OP,Optimism,20,2020,202010,ETH,2024-05-23
jasmy,JASMY,JasmyCoin,30,3040,304040,ETH,2024-05-23
iota,IOTA,IOTA,30,3040,304040,OTHER,2024-05-23
strk,STRK,Starknet,20,2020,202010,ETH,2024-05-23
ens,ENS,Ethereum Name Service,20,2030,203020,ETH,2024-05-23
jto,JTO,Jito,30,3010,301090,SOL,2024-05-23
grass,GRASS,Grass,30,3040,304020,SOL,2024-05-23
bill,BILL,Billions Network,20,2030,203020,OTHER,2024-05-23
xpl,XPL,Plasma,20,2010,201010,OTHER,2024-05-23
genius,GENIUS,Genius,30,3010,301010,SOL,2024-05-23
comp,COMP,Compound,30,3010,301030,ETH,2024-05-23
ff,FF,Falcon Finance,30,3010,301040,ETH,2024-05-23
ray,RAY,Raydium,30,3010,301010,SOL,2024-05-23
axs,AXS,Axie Infinity,30,3050,305020,ETH,2024-05-23
neo,NEO,NEO,20,2010,201010,OTHER,2024-05-23
pieverse,PIEVERSE,Pieverse,30,3020,302020,ETH,2024-05-23
theta,THETA,Theta Network,30,3060,306020,OTHER,2024-05-23
wif,WIF,dogwifhat,10,1020,102010,SOL,2024-05-23
sand,SAND,The Sandbox,30,3050,305010,ETH,2024-05-23
twt,TWT,Trust Wallet,30,3040,304030,BNB,2024-05-23
sonic,S,Sonic,20,2010,201010,OTHER,2024-05-23
ip,IP,Story,30,3060,306020,OTHER,2024-05-23
mana,MANA,Decentraland,30,3050,305010,ETH,2024-05-23
cfg,CFG,Centrifuge,30,3010,301092,ETH,2024-05-23
gala,GALA,GALA,30,3050,305020,OTHER,2024-05-23
wal,WAL,Walrus,30,3040,304020,MOVE,2024-05-23
cvx,CVX,Convex Finance,30,3010,301060,ETH,2024-05-23
rune,RUNE,THORChain,30,3010,301010,COSMOS,2024-05-23
eigen,EIGEN,EigenCloud,30,3010,301091,ETH,2024-05-23
bat,BAT,Basic Attention,30,3060,306010,ETH,2024-05-23
zk,ZK,ZKsync,20,2020,202010,ETH,2024-05-23
hnt,HNT,Helium,30,3040,304020,SOL,2024-05-23
imx,IMX,Immutable,30,3050,305020,ETH,2024-05-23
ape,APE,ApeCoin,30,3050,305020,ETH,2024-05-23
glm,GLM,Golem,30,3040,304020,ETH,2024-05-23
ar,AR,Arweave,30,3040,304020,OTHER,2024-05-23
fluid,FLUID,Fluid,30,3010,301030,ETH,2024-05-23
vaulta,A,Vaulta,20,2010,201010,OTHER,2024-05-23
1inch,1INCH,1INCH,30,3010,301010,ETH,2024-05-23
ath,ATH,Aethir,30,3040,304020,OTHER,2024-05-23
dydx,DYDX,dYdX,30,3010,301020,COSMOS,2024-05-23
